region,letter,1,2,3,5,10,15,20
general,a,0.721,1.3115,1.0768,0.7682,0.5769,0.4845,0.476
general,b,-1.4686,-0.336,0.0109,0.0439,0.0176,0.0034,0.0071
general,c,0.5746,-0.2475,-0.2695,-0.109,0.0038,0.0036,0.0246
general,d,0.0095,-0.0034,0.0021,0.0105,0.0165,0.0187,0.0189
