region,letter,1,2,3,5,10,15,20
general,e,1.2136,1.7025,1.836,2.1882,2.9682,4.6526,7.1425
general,f,0.974,4.1569,2.8632,-2.6521,-10.3053,-16.692,-18.3021
general,g,-0.5247,-0.1232,3.522,9.1961,15.3161,19.8534,22.4168
