Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CentralAfricanRepublicRural,0,0,0,0,0,1.34E-08,2.97E-08,9.20E-08,2.84E-07,8.56E-07,2.55E-06,7.34E-06,2.07E-05,5.55E-05,0.00014228,0.000343772,0.000766741,0.001597598,0.003125027,0.00556935,0.009002838,0.013462685,0.018242611,0.022502784,0.025381395,0.02610444,0.024518497,0.021416966,0.017336239,0.013202769,0.00936958,0.006177384,0.003737571,0.002095264,0.001218958,0.000884749,0.000933774,0.000925725,0.00075875,0.000632049,0.000513241,0.000432708,0.000363472,0.000302116,0.000252359,0.000208237
ChadUrban,0,0,0,0,0,0.00011193,9.96E-05,0.000171049,0.000282581,0.000443677,0.000665187,0.000945024,0.001295696,0.00170251,0.002158695,0.002638751,0.003164487,0.003699006,0.004240174,0.004777245,0.005286064,0.005750517,0.006196842,0.006596045,0.0069221,0.007166442,0.00732427,0.007387985,0.007365142,0.007255206,0.007056735,0.006823182,0.006501343,0.006163783,0.00579949,0.005424766,0.005050899,0.004624069,0.004231847,0.003750742,0.003299244,0.003127593,0.002909483,0.002673282,0.002451751,0.002251938
ChadRural,0,0,0,0,0,3.39E-05,2.94E-05,5.33E-05,9.41E-05,0.000165922,0.000289465,0.000521392,0.000888678,0.001472888,0.002391231,0.00378997,0.005712248,0.008047533,0.010586034,0.012709834,0.014342909,0.014956468,0.01421001,0.012493972,0.010187243,0.007999334,0.00615958,0.00476779,0.003899702,0.003430878,0.003311966,0.00334743,0.003463436,0.003553947,0.003664161,0.003753602,0.003729468,0.00360202,0.003432047,0.003107369,0.002756728,0.002634041,0.002465721,0.002292461,0.002101376,0.001932023
CongoUrban,0,0,0,0,0,0.000253306,0.000413918,0.000932223,0.001901509,0.003514685,0.005847863,0.008771458,0.011788058,0.014386286,0.016002223,0.016389155,0.01574034,0.014604812,0.013305932,0.011870309,0.010658318,0.009766263,0.009155626,0.008802967,0.008611595,0.008470527,0.008257613,0.007973816,0.007653464,0.007306891,0.006964097,0.006618133,0.006261117,0.005916844,0.005619348,0.005328851,0.004989808,0.00474112,0.004458958,0.004099587,0.003823093,0.003630548,0.004119775,0.004045399,0.003850217,0.003668867
CongoRural,0,0,0,0,0,1.32E-05,9.09E-06,1.53E-05,2.65E-05,4.67E-05,8.33E-05,0.000151267,0.000274051,0.000498789,0.000900119,0.001599246,0.002760685,0.004492,0.006874441,0.009807894,0.012981745,0.015795356,0.017668341,0.018158129,0.017190177,0.015125208,0.012500961,0.009997209,0.007830471,0.006170063,0.00501074,0.004328907,0.003948435,0.003814823,0.003815279,0.003867104,0.003892057,0.003770675,0.003469702,0.003130772,0.002857567,0.002637177,0.002957734,0.002851904,0.002657737,0.002476898
CotedIvoireUrban,0,0,0,0,0,8.06E-05,0.000159642,0.000391577,0.00087753,0.001757138,0.003174311,0.004993126,0.00700525,0.008789964,0.009835963,0.01018166,0.009915954,0.009498709,0.009208013,0.00914598,0.009412707,0.010057603,0.010982348,0.012104369,0.013343693,0.014469859,0.015196416,0.015294429,0.014749047,0.013539347,0.011768552,0.009702004,0.007440069,0.005339017,0.003566637,0.002289968,0.001515041,0.001174581,0.001134386,0.001015236,0.000836406,0.000729608,0.000590098,0.000485823,0.000394742,0.000313027
CotedIvoireRural,0,0,0,0,0,1.42E-07,2.17E-07,5.07E-07,1.12E-06,2.40E-06,5.00E-06,1.02E-05,1.99E-05,3.82E-05,7.15E-05,0.000130052,0.000231675,0.00039613,0.00065859,0.001052391,0.001623286,0.002414238,0.003447122,0.004696908,0.006103983,0.007565976,0.008824391,0.009669844,0.0100005,0.009731848,0.008796344,0.007356594,0.005692608,0.004009829,0.002557911,0.001444197,0.000712088,0.000343839,0.000238179,0.000216244,0.000175289,0.000147751,0.000116889,9.48E-05,7.51E-05,5.53E-05
DRCUrban,0,0,0,0,0,0.000188919,0.000350864,0.000805252,0.001620615,0.002902757,0.004614246,0.006534331,0.008283629,0.009505403,0.010007891,0.009819697,0.009190215,0.008320729,0.007476772,0.006814193,0.006376573,0.006183241,0.006162043,0.006284187,0.006459692,0.006639291,0.006800216,0.006851084,0.006828964,0.006734448,0.006560802,0.006346601,0.006055047,0.005707398,0.00534298,0.004965841,0.004615639,0.00426584,0.003995997,0.00366236,0.003395921,0.003200469,0.00301386,0.002816679,0.002628766,0.002446246
DRCRural,0,0,0,0,0,7.90E-05,0.00016433,0.000406027,0.000879158,0.001677281,0.002813298,0.004219,0.005609055,0.006656615,0.007143908,0.007009402,0.006421312,0.005741899,0.005115316,0.004654392,0.004437349,0.004438748,0.004631679,0.004953676,0.005346594,0.005772575,0.006152089,0.006456109,0.006701536,0.00686156,0.006905481,0.006826756,0.006617905,0.00630336,0.005862737,0.005366683,0.004818294,0.004268607,0.003768337,0.003253032,0.002854259,0.002595953,0.002398297,0.002199505,0.002005947,0.001822605
EritreaUrban,0,0,0,0,0,1.68E-08,2.30E-08,5.58E-08,1.43E-07,3.59E-07,9.04E-07,2.29E-06,5.99E-06,1.51E-05,3.74E-05,8.94E-05,0.000206394,0.000449941,0.000917246,0.001718887,0.002941608,0.004618149,0.006583294,0.008522401,0.010023167,0.010688257,0.010428073,0.009381841,0.00776671,0.005986409,0.004332049,0.002957787,0.001952127,0.001280658,0.000934615,0.000805772,0.0008069,0.000867559,0.000951757,0.001032964,0.001007045,0.000888378,0.000665896,0.000526997,0.000440717,0.000389449
