Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SierraLeoneRural,0,0,0,0,0,1.13E-07,9.26E-08,1.67E-07,3.03E-07,5.36E-07,9.64E-07,1.72E-06,3.03E-06,5.31E-06,9.24E-06,1.57E-05,2.65E-05,4.36E-05,6.99E-05,0.000109127,0.000163704,0.000243668,0.00034866,0.000490081,0.000664786,0.00087968,0.001125093,0.001409161,0.001712524,0.002059608,0.002424486,0.002774239,0.003111599,0.00338429,0.003638497,0.003830638,0.003949539,0.00398913,0.004009456,0.00392316,0.003794371,0.003682457,0.003361221,0.003306761,0.003277131,0.003213795
TanzaniaUrban,0,0,0,0,0,0.000263961,0.000256668,0.000473458,0.000842763,0.001444205,0.002375019,0.003704843,0.00555638,0.007951318,0.010836549,0.014105159,0.017435574,0.020503395,0.022970136,0.024565281,0.02517141,0.024728355,0.023541228,0.021774391,0.019712528,0.017730035,0.01601609,0.014658273,0.013674399,0.013005945,0.012578481,0.012287357,0.012086804,0.011895711,0.011639517,0.011224077,0.010510656,0.0095715,0.008616303,0.007860525,0.007385732,0.006511167,0.006110188,0.005789279,0.005437514,0.00508934
TanzaniaRural,0,0,0,0,0,3.14E-05,2.46E-05,4.33E-05,7.70E-05,0.000135433,0.000235212,0.000405509,0.000678655,0.001119237,0.001789802,0.002759506,0.004088167,0.005725632,0.007580379,0.00946435,0.01111938,0.012307024,0.012795998,0.012516404,0.011627366,0.010367163,0.009038251,0.007853185,0.006905675,0.006204894,0.005744242,0.005473769,0.005338097,0.005293087,0.005283379,0.005265575,0.005156735,0.004975414,0.004794401,0.004557278,0.004350204,0.003851203,0.00366164,0.003508741,0.003342199,0.00315715
TogoUrban,0,0,0,0,0,2.75E-05,2.53E-05,4.48E-05,7.65E-05,0.000126607,0.000205481,0.000320109,0.000479214,0.00069704,0.000984949,0.001355518,0.001829977,0.002394456,0.003063835,0.003843533,0.004722117,0.005690147,0.0067078,0.007728479,0.008705184,0.009557968,0.010216137,0.01061783,0.010686479,0.010448549,0.009925234,0.009203509,0.008364301,0.007474153,0.006617879,0.005892934,0.005283014,0.00492523,0.004700859,0.004492832,0.004221075,0.00384992,0.003475763,0.003091318,0.002797115,0.002607981
TogoRural,0,0,0,0,0,1.23E-05,1.16E-05,2.04E-05,3.46E-05,5.87E-05,9.64E-05,0.000152524,0.000236609,0.000356189,0.000521243,0.000746763,0.001040221,0.001398259,0.001846739,0.002313635,0.002839056,0.003372408,0.003877473,0.004306763,0.004652089,0.004886304,0.00499836,0.005037257,0.00499004,0.004894341,0.004774198,0.004640073,0.00451046,0.0043873,0.00429564,0.004248093,0.004202397,0.004242822,0.004331453,0.004344613,0.004237381,0.004074012,0.003931182,0.003766619,0.003647631,0.003586284
UgandaUrban,0,0,0,0,0,4.60E-06,2.21E-05,0.000102684,0.00040145,0.001325993,0.003689644,0.00875842,0.017013675,0.028042424,0.040271632,0.049749298,0.054848634,0.053668517,0.047690409,0.039273068,0.030209465,0.021664832,0.015421697,0.011142967,0.008643781,0.007449389,0.007219582,0.00757831,0.008229395,0.008992055,0.009790578,0.01057558,0.011261731,0.011848747,0.012232042,0.011999231,0.011512131,0.011262658,0.010315223,0.008866909,0.007942246,0.007408278,0.006981588,0.006507963,0.00595056,0.005538137
UgandaRural,0,0,0,0,0,3.27E-08,1.78E-07,9.74E-07,4.76E-06,2.10E-05,7.68E-05,0.000253787,0.000725555,0.001770788,0.003856545,0.007286344,0.012007702,0.017029837,0.021146888,0.023349678,0.022935654,0.01986381,0.015197355,0.010428744,0.006335163,0.003491882,0.002123509,0.001956316,0.002477307,0.003272021,0.004193221,0.005133577,0.006077708,0.006980469,0.007797436,0.008263445,0.008466537,0.008615828,0.008071433,0.007053064,0.006518594,0.006346303,0.00624256,0.006036052,0.005803115,0.005612202
ZambiaUrban,0,0,0,0,0,4.38E-05,9.39E-05,0.000257009,0.000660216,0.001546416,0.003373571,0.006609271,0.011830714,0.019116648,0.027751563,0.036316481,0.043639116,0.048697728,0.05097045,0.051315328,0.050575441,0.048438118,0.046122361,0.044015733,0.042178665,0.040738684,0.039736539,0.039005332,0.038514621,0.038284108,0.038142577,0.038269843,0.03795255,0.037245063,0.035515836,0.033254754,0.030249497,0.026358158,0.02119171,0.018256044,0.016198924,0.0145273,0.012950906,0.011468704,0.009983911,0.008693257
ZambiaRural,0,0,0,0,0,0.000141586,0.000256015,0.000673349,0.001664952,0.003699276,0.007238829,0.012666162,0.018789097,0.024083653,0.026916786,0.026334501,0.023430125,0.01930794,0.016310379,0.014119463,0.012646868,0.012243886,0.012593116,0.013404974,0.014520957,0.015618028,0.01638209,0.01681111,0.016992529,0.016885904,0.01653621,0.015838482,0.015055595,0.01414332,0.012902224,0.011677477,0.010512693,0.009405891,0.007992329,0.00717045,0.006445751,0.005834797,0.005262055,0.004701036,0.004120701,0.00359507
ZimbabweUrban,0,0,0,0,0,1.53E-05,3.38E-05,9.36E-05,0.00023692,0.000557904,0.001200755,0.002381594,0.004347133,0.00731095,0.011353992,0.016637588,0.023001868,0.029776733,0.036958786,0.043892304,0.05061751,0.056128288,0.060639317,0.063771907,0.065283267,0.064761389,0.061763266,0.05662664,0.04983799,0.041995355,0.034053037,0.02674727,0.020565633,0.015929465,0.012905215,0.011463235,0.011392153,0.012018986,0.012960382,0.013409168,0.0123006,0.011026924,0.011334148,0.010061104,0.009218241,0.008397535
ZimbabweRural,0,0,0,0,0,0.000152751,1.90E-05,4.45E-05,8.05E-05,0.000139395,0.000242624,0.000428906,0.00076633,0.001378475,0.002473535,0.004383922,0.007540406,0.012335546,0.018995674,0.027301091,0.036395628,0.044801423,0.050705227,0.053011118,0.051512635,0.047096592,0.04132805,0.035485748,0.030184404,0.025906695,0.02270736,0.020453469,0.019024971,0.018114374,0.017555992,0.017006865,0.016337066,0.015484531,0.014583309,0.013412517,0.011955689,0.010886855,0.010432282,0.009062614,0.008355727,0.007520758
BurundiUrban,0,0,0,0,0,0.000188887,0.0001991,0.000375631,0.000680714,0.001200002,0.00201778,0.003224058,0.004963287,0.007335207,0.010266899,0.013676404,0.017423546,0.020886373,0.023850548,0.025751402,0.026527018,0.025952711,0.024337743,0.021882607,0.0189905,0.016162299,0.01364954,0.011600568,0.009974102,0.008785772,0.007870018,0.007196495,0.006580928,0.006067286,0.005493574,0.004848235,0.004164276,0.003507438,0.002846856,0.002316721,0.001942063,0.001687514,0.001458467,0.001256474,0.001062916,0.000917762
BurundiRural,0,0,0,0,0,5.92E-10,1.47E-09,5.86E-09,2.26E-08,9.25E-08,3.82E-07,1.55E-06,6.13E-06,2.36E-05,8.49E-05,0.000281754,0.000851618,0.002300243,0.00532888,0.010594223,0.017929489,0.025550747,0.030512525,0.030618174,0.02573274,0.017949282,0.010281398,0.004885229,0.001883191,0.000938755,0.001268738,0.002169894,0.003201841,0.00416078,0.00490062,0.005357183,0.005523484,0.005347317,0.004948232,0.004395833,0.004024265,0.003815923,0.003624034,0.003458802,0.003324545,0.003159661
BotUrb2x,0,0,0,0,0,9.66E-06,1.24E-05,2.68E-05,5.67E-05,0.00011744,0.000237274,0.000484631,0.000912731,0.001680958,0.00300521,0.005181545,0.00878513,0.013819668,0.020775427,0.029652082,0.040051862,0.050100318,0.06075651,0.06986944,0.076450015,0.079888172,0.079884797,0.077981104,0.074094096,0.068867099,0.063039455,0.05702846,0.051236933,0.045653018,0.040185932,0.035024497,0.031085884,0.028268895,0.026375216,0.024229944,0.021900696,0.019783877,0.01820596,0.016684539,0.015182068,0.013829753
